School name,Country,Intl GPA,US GPA,Tier
Dharmsinh Desai University,India,10/7.5/7/6,4.0/3.6/3.0/2.0,Tier III College
Dhirubhai Ambani Institute of Information and Communication Technology,India,10/9/8/7/6,4.0/3.6/3.0/2.6/2.0,Tier III College
Don Bosco Institute of Technology,India,100/70/60/50,4.0/3.6/3.0/2.0,Tier III College
DRAPJ Abdul Kalam Technical University,India,100/75/60/50,4.0/3.6/3.0/2.0,Tier III College
Dwarkadas J. Sanghvi College of Engineering,India,10/9/8/7,4.0/3.7/3.0/2.0,Tier III College
Fr Conceicao Rodrigues College of Engineering,India,10/9/8/7/6,4.0/3.7/3.3/2.3/2.0,Tier III College
Gandhi Institute of Technology and Management,India,10/8/7/6/5,4.0/3.7/3.3/3.0/2.0,Tier III College
Ganpat University,India,10/8/7/6/5,4.0/3.6/3.3/3.0/2.3/2.0,Tier III College
Goa University,India,100/70/60/50,4.0/3.6/3.0/2.0,Tier III College
Govind Ballabh Pant University of Agriculture and Technology,India,10/7.75/6.75/6,4.0/3.6/3.0/2.0,Tier III College
"Gujarat Technological University, Ahmedabad",India,10/7.1/6.5/5.5,4.0/3.6/3.0/2.0,Tier III College
"Guru Gobind Singh Indraprastha University, Delhi",India,100/75/60/50,4.0/3.6/3.0/2.0,Tier III College
"Indian Institute of Engineering Science and Technology, Shibpur",India,10/8/7/6,4.0/3.6/3.0/2.0,Tier III College
"Indian Institute of Information Technology, Design and Manufacturing Jabalpur",India,10/9/8/7/6,4.0/3.7/3.3/3.0/2.3,Tier III College
Indian Institute of Science,India,8/7/6/5/4,4.0/3.7/3.3/3.0/2.0,Tier III College
Indian Institute of Science Education and Research,India,10/9/8/7/6,4.0/3.0/2.0,Tier I College
Indian Institute of Space Science and Technology,India,10/9/8/7,4.0/3.7/3.0/2.0,Tier I College
Indian Institute of Technology,India,10/9.75/9.5/9.25/9/8.75/8.5/8.25/8/7.75/7.5/7.25/7/6.75/6.5/6.25/6/5.75/5.5/5.25/5,4.0/3.93/3.87/3.81/3.74/3.67/3.6/3.52/3.45/3.38/3.3/3.23/3.15/3.08/3.0/2.83/2.66/2.5/2.33/2.17/2.0,Tier I College
Indian Institute of Technology (Banaras Hindu University),India,10/9.75/9.5/9.25/9/8.75/8.5/8.25/8/7.75/7.5/7.25/7/6.75/6.5/6.25/6/5.75/5.5/5.25/5,4.0/3.93/3.87/3.81/3.74/3.67/3.6/3.52/3.45/3.38/3.3/3.23/3.15/3.08/3.0/2.83/2.66/2.5/2.33/2.17/2.0,Tier I College
Indian Institute of Technology Delhi,India,10/9.75/9.5/9.25/9/8.75/8.5/8.25/8/7.75/7.5/7.25/7/6.75/6.5/6.25/6/5.75/5.5/5.25/5,4.0/3.93/3.87/3.81/3.74/3.67/3.6/3.52/3.45/3.38/3.3/3.23/3.15/3.08/3.0/2.83/2.66/2.5/2.33/2.17/2.0,Tier I College
Indian Institute of Technology Hyderabad,India,10/9.75/9.5/9.25/9/8.75/8.5/8.25/8/7.75/7.5/7.25/7/6.75/6.5/6.25/6/5.75/5.5/5.25/5,4.0/3.93/3.87/3.81/3.74/3.67/3.6/3.52/3.45/3.38/3.3/3.23/3.15/3.08/3.0/2.83/2.66/2.5/2.33/2.17/2.0,Tier I College
Indian Institute of Technology Kanpur,India,10/9.75/9.5/9.25/9/8.75/8.5/8.25/8/7.75/7.5/7.25/7/6.75/6.5/6.25/6/5.75/5.5/5.25/5,4.0/3.93/3.87/3.81/3.74/3.67/3.6/3.52/3.45/3.38/3.3/3.23/3.15/3.08/3.0/2.83/2.66/2.5/2.33/2.17/2.0,Tier I College
Indian Institute of Technology Mandhi,India,10/9.75/9.5/9.25/9/8.75/8.5/8.25/8/7.75/7.5/7.25/7/6.75/6.5/6.25/6/5.75/5.5/5.25/5,4.0/3.93/3.87/3.81/3.74/3.67/3.6/3.52/3.45/3.38/3.3/3.23/3.15/3.08/3.0/2.83/2.66/2.5/2.33/2.17/2.0,Tier I College
